|dayOfTweet|approxLocation|hashtag|numOfTweets|spamEvent|usersPerHashtag|std
168223|2015-06-01|('46.156', '8.771')|#swiss|6|True|1|329.3337412020454
168224|2015-06-01|('46.156', '8.771')|#schweiz|6|True|1|329.3337412020454
11328|2015-01-08|('46.318', '6.036')|#jesuischarlie|6|True|1|328.7725854444297
290538|2015-08-02|('46.255', '6.057')|#lhc|15|True|1|328.49159309760495
388286|2015-09-15|('46.382', '6.592')|#streamys|8|True|1|328.22475858539
269377|2015-07-22|('46.255', '6.057')|#lhc|9|True|1|327.2560024170218
271196|2015-07-23|('45.900', '6.128')|#hautesavoie|6|True|1|325.9832622757657
187630|2015-06-11|('47.534', '7.646')|#bahnbilderde|8|True|1|325.9562931289745
386889|2015-09-14|('46.205', '6.143')|#tamil|10|True|1|325.8519321588667
199450|2015-06-17|('45.816', '9.221')|#vidal|5|True|1|325.52896928605975
271514|2015-07-23|('45.816', '9.221')|#5yearsofonedirection|5|True|1|325.3973581126108
81516|2015-03-02|('46.233', '7.409')|#kca|5|True|1|324.72937406058264
